Time,Message
251818.1392648,b'Frame Received\r\n'
251818.2369639,b'Frame Received\r\n'
251818.337095,b'Frame Received\r\n'
251818.4370204,b'Frame Received\r\n'
251818.5388159,b'Frame Received\r\n'
251818.6385606,b'Frame Received\r\n'
251818.7364349,b'Frame Received\r\n'
251818.8391439,b'Frame Received\r\n'
251818.9388848,b'Frame Received\r\n'
251819.0392444,b'Frame Received\r\n'
251819.1395151,b'Frame Received\r\n'
251819.2386046,b'Frame Received\r\n'
251819.338612,b'Frame Received\r\n'
251819.4386046,b'Frame Received\r\n'
251819.53675,b'Frame Received\r\n'
251819.637339,b'Frame Received\r\n'
251819.7369122,b'Frame Received\r\n'
251819.8388168,b'Frame Received\r\n'
251819.9371374,b'Frame Received\r\n'
251820.0388962,b'Frame Received\r\n'
251820.1372623,b'Frame Received\r\n'
251820.2390868,b'Frame Received\r\n'
251820.3393477,b'Frame Received\r\n'
251820.4363524,b'Frame Received\r\n'
251820.5386595,b'Frame Received\r\n'
251820.6388488,b'Frame Received\r\n'
251820.7372306,b'Frame Received\r\n'
251820.8388048,b'Frame Received\r\n'
251820.9373639,b'Frame Received\r\n'
251821.0361093,b'Frame Received\r\n'
251821.1361187,b'Frame Received\r\n'
251821.2358559,b'Frame Received\r\n'
251821.3362512,b'Frame Received\r\n'
251821.4384001,b'Frame Received\r\n'
251821.5390751,b'Frame Received\r\n'
251821.6372666,b'Frame Received\r\n'
251821.7384908,b'Frame Received\r\n'
251821.8386654,b'Frame Received\r\n'
251821.9374179,b'Frame Received\r\n'
251822.0385166,b'Frame Received\r\n'
251822.1384863,b'Frame Received\r\n'
251822.2384636,b'Frame Received\r\n'
251822.3370895,b'Frame Received\r\n'
251822.4387722,b'Frame Received\r\n'
251822.5383023,b'Frame Received\r\n'
251822.636515,b'Frame Received\r\n'
251822.7371861,b'Frame Received\r\n'
251822.8370492,b'Frame Received\r\n'
251822.9384599,b'Frame Received\r\n'
251823.038907,b'Frame Received\r\n'
251823.1381427,b'Frame Received\r\n'
251823.2384877,b'Frame Received\r\n'
251823.3385547,b'Frame Received\r\n'
251823.4384474,b'Frame Received\r\n'
251823.538559,b'Frame Received\r\n'
251823.6370418,b'Frame Received\r\n'
251823.736959,b'Frame Received\r\n'
251823.83878,b'Frame Received\r\n'
251823.935891,b'Frame Received\r\n'
251824.0366013,b'Frame Received\r\n'
251824.1388241,b'Frame Received\r\n'
251824.2376529,b'Frame Received\r\n'
251824.3384988,b'Frame Received\r\n'
251824.4385473,b'Frame Received\r\n'
251824.5370601,b'Frame Received\r\n'
251824.6387792,b'Frame Received\r\n'
251824.7387804,b'Frame Received\r\n'
251824.8391996,b'Frame Received\r\n'
251824.9358957,b'Frame Received\r\n'
251825.038828,b'Frame Received\r\n'
251825.1387469,b'Frame Received\r\n'
251825.238594,b'Frame Received\r\n'
251825.3389478,b'Frame Received\r\n'
251825.4390207,b'Frame Received\r\n'
251825.5367879,b'Frame Received\r\n'
251825.6384324,b'Frame Received\r\n'
251825.738439,b'Frame Received\r\n'
251825.8383662,b'Frame Received\r\n'
251825.935614,b'Frame Received\r\n'
251826.0385845,b'Frame Received\r\n'
251826.1386066,b'Frame Received\r\n'
251826.2384439,b'Frame Received\r\n'
251826.3386307,b'Frame Received\r\n'
251826.436986,b'Frame Received\r\n'
251826.5361833,b'Frame Received\r\n'
251826.6385216,b'Frame Received\r\n'
251826.7385593,b'Frame Received\r\n'
251826.8384993,b'Frame Received\r\n'
251826.9358811,b'Frame Received\r\n'
251827.0368955,b'Frame Received\r\n'
251827.1371289,b'Frame Received\r\n'
251827.2363186,b'Frame Received\r\n'
251827.3371836,b'Frame Received\r\n'
251827.4374801,b'Frame Received\r\n'
251827.5367407,b'Frame Received\r\n'
251827.6383087,b'Frame Received\r\n'
251827.7371698,b'Frame Received\r\n'
251827.8369472,b'Frame Received\r\n'
251827.9360224,b'Frame Received\r\n'
251828.0382262,b'Frame Received\r\n'
251828.1387164,b'Frame Received\r\n'
251828.2366899,b'Frame Received\r\n'
251828.3387681,b'Frame Received\r\n'
251828.4390534,b'Frame Received\r\n'
251828.5369669,b'Frame Received\r\n'
251828.6388278,b'Frame Received\r\n'
251828.738896,b'Frame Received\r\n'
251828.8390831,b'Frame Received\r\n'
251828.9360095,b'Frame Received\r\n'
251829.0383056,b'Frame Received\r\n'
251829.1360865,b'Frame Received\r\n'
251829.2367676,b'Frame Received\r\n'
251829.3387266,b'Frame Received\r\n'
251829.4386577,b'Frame Received\r\n'
251829.5387517,b'Frame Received\r\n'
251829.6385517,b'Frame Received\r\n'
251829.7387536,b'Frame Received\r\n'
251829.8381222,b'Frame Received\r\n'
251829.9388858,b'Frame Received\r\n'
251830.038565,b'Frame Received\r\n'
251830.138868,b'Frame Received\r\n'
251830.2383445,b'Frame Received\r\n'
251830.3390757,b'Frame Received\r\n'
251830.4387975,b'Frame Received\r\n'
251830.5371886,b'Frame Received\r\n'
251830.6385947,b'Frame Received\r\n'
251830.73832,b'Frame Received\r\n'
251830.8384996,b'Frame Received\r\n'
251830.9367256,b'Frame Received\r\n'
251831.0387997,b'Frame Received\r\n'
251831.1386801,b'Frame Received\r\n'
251831.2363482,b'Frame Received\r\n'
251831.3385053,b'Frame Received\r\n'
251831.4377655,b'Frame Received\r\n'
251831.5367636,b'Frame Received\r\n'
251831.6384145,b'Frame Received\r\n'
251831.7360314,b'Frame Received\r\n'
251831.8381968,b'Frame Received\r\n'
251831.9383857,b'Frame Received\r\n'
251832.0382993,b'Frame Received\r\n'
251832.1373048,b'Frame Received\r\n'
251832.2365884,b'Frame Received\r\n'
251832.3383506,b'Frame Received\r\n'
251832.438376,b'Frame Received\r\n'
251832.5383781,b'Frame Received\r\n'
251832.6367069,b'Frame Received\r\n'
251832.7388879,b'Frame Received\r\n'
251832.8388649,b'Frame Received\r\n'
251832.9386342,b'Frame Received\r\n'
251833.038232,b'Frame Received\r\n'
251833.139086,b'Frame Received\r\n'
251833.2364943,b'Frame Received\r\n'
251833.3384177,b'Frame Received\r\n'
251833.4383873,b'Frame Received\r\n'
251833.5365028,b'Frame Received\r\n'
251833.6387611,b'Frame Received\r\n'
251833.7361698,b'Frame Received\r\n'
251833.8384315,b'Frame Received\r\n'
251833.9387584,b'Frame Received\r\n'
251834.0380299,b'Frame Received\r\n'
251834.1387345,b'Frame Received\r\n'
251834.2383721,b'Frame Received\r\n'
251834.3385938,b'Frame Received\r\n'
251834.4387454,b'Frame Received\r\n'
251834.5386403,b'Frame Received\r\n'
251834.6385902,b'Frame Received\r\n'
251834.7388429,b'Frame Received\r\n'
251834.8387472,b'Frame Received\r\n'
251834.9387822,b'Frame Received\r\n'
251835.0385673,b'Frame Received\r\n'
251835.1386105,b'Frame Received\r\n'
251835.2384052,b'Frame Received\r\n'
251835.3387029,b'Frame Received\r\n'
251835.4367705,b'Frame Received\r\n'
251835.5379568,b'Frame Received\r\n'
251835.6372295,b'Frame Received\r\n'
251835.7367877,b'Frame Received\r\n'
