Time,Message
251812.2386857,b'TX Frame Sent\r\n'
251812.3387766,b'TX Frame Sent\r\n'
251812.4387647,b'TX Frame Sent\r\n'
251812.537569,b'TX Frame Sent\r\n'
251812.6387865,b'TX Frame Sent\r\n'
251812.7388136,b'TX Frame Sent\r\n'
251812.8359564,b'TX Frame Sent\r\n'
251812.93867,b'TX Frame Sent\r\n'
251813.0370878,b'TX Frame Sent\r\n'
251813.1390345,b'TX Frame Sent\r\n'
251813.2385597,b'TX Frame Sent\r\n'
251813.3387961,b'TX Frame Sent\r\n'
251813.4388441,b'TX Frame Sent\r\n'
251813.5387814,b'TX Frame Sent\r\n'
251813.6387144,b'TX Frame Sent\r\n'
251813.737365,b'TX Frame Sent\r\n'
251813.836057,b'TX Frame Sent\r\n'
251813.9390129,b'TX Frame Sent\r\n'
251814.0387391,b'TX Frame Sent\r\n'
251814.1369775,b'TX Frame Sent\r\n'
251814.2390466,b'TX Frame Sent\r\n'
251814.3394456,b'TX Frame Sent\r\n'
251814.4387472,b'TX Frame Sent\r\n'
251814.5386584,b'TX Frame Sent\r\n'
251814.636571,b'TX Frame Sent\r\n'
251814.7366734,b'TX Frame Sent\r\n'
251814.8365394,b'TX Frame Sent\r\n'
251814.9386024,b'TX Frame Sent\r\n'
251815.0365427,b'TX Frame Sent\r\n'
251815.1370718,b'TX Frame Sent\r\n'
251815.2388277,b'TX Frame Sent\r\n'
251815.3387286,b'TX Frame Sent\r\n'
251815.4396458,b'TX Frame Sent\r\n'
251815.5372963,b'TX Frame Sent\r\n'
251815.6367904,b'TX Frame Sent\r\n'
251815.7367464,b'TX Frame Sent\r\n'
251815.836265,b'TX Frame Sent\r\n'
251815.9369665,b'TX Frame Sent\r\n'
251816.0387818,b'TX Frame Sent\r\n'
251816.1388392,b'TX Frame Sent\r\n'
251816.2387534,b'TX Frame Sent\r\n'
251816.3385827,b'TX Frame Sent\r\n'
251816.4368394,b'TX Frame Sent\r\n'
251816.5387598,b'TX Frame Sent\r\n'
251816.6387038,b'TX Frame Sent\r\n'
251816.7385294,b'TX Frame Sent\r\n'
251816.8391089,b'TX Frame Sent\r\n'
251816.9373358,b'TX Frame Sent\r\n'
251817.0385126,b'TX Frame Sent\r\n'
251817.1369565,b'TX Frame Sent\r\n'
251817.2386393,b'TX Frame Sent\r\n'
251817.3375939,b'TX Frame Sent\r\n'
251817.4386624,b'TX Frame Sent\r\n'
251817.5387705,b'TX Frame Sent\r\n'
251817.6384807,b'TX Frame Sent\r\n'
251817.7386347,b'TX Frame Sent\r\n'
251817.8386426,b'TX Frame Sent\r\n'
251817.9388154,b'TX Frame Sent\r\n'
251818.0367109,b'TX Frame Sent\r\n'
251818.1391639,b'TX Frame Sent\r\n'
251818.2369074,b'TX Frame Sent\r\n'
251818.3369378,b'TX Frame Sent\r\n'
251818.4370018,b'TX Frame Sent\r\n'
251818.5386692,b'TX Frame Sent\r\n'
251818.6385745,b'TX Frame Sent\r\n'
251818.7366789,b'TX Frame Sent\r\n'
251818.8388186,b'TX Frame Sent\r\n'
251818.9388516,b'TX Frame Sent\r\n'
251819.03914,b'TX Frame Sent\r\n'
251819.1395108,b'TX Frame Sent\r\n'
251819.2385175,b'TX Frame Sent\r\n'
251819.3385852,b'TX Frame Sent\r\n'
251819.4386045,b'TX Frame Sent\r\n'
251819.536625,b'TX Frame Sent\r\n'
251819.6371359,b'TX Frame Sent\r\n'
251819.7367448,b'TX Frame Sent\r\n'
251819.8386279,b'TX Frame Sent\r\n'
251819.9370312,b'TX Frame Sent\r\n'
251820.0386972,b'TX Frame Sent\r\n'
251820.1366099,b'TX Frame Sent\r\n'
251820.2390868,b'TX Frame Sent\r\n'
251820.3390434,b'TX Frame Sent\r\n'
251820.4364743,b'TX Frame Sent\r\n'
251820.5386036,b'TX Frame Sent\r\n'
251820.6386196,b'TX Frame Sent\r\n'
251820.7370175,b'TX Frame Sent\r\n'
251820.838687,b'TX Frame Sent\r\n'
251820.9372708,b'TX Frame Sent\r\n'
251821.0359746,b'TX Frame Sent\r\n'
251821.1360688,b'TX Frame Sent\r\n'
251821.2357829,b'TX Frame Sent\r\n'
251821.3360725,b'TX Frame Sent\r\n'
251821.4383773,b'TX Frame Sent\r\n'
251821.5392916,b'TX Frame Sent\r\n'
251821.6363174,b'TX Frame Sent\r\n'
251821.7384885,b'TX Frame Sent\r\n'
251821.8384967,b'TX Frame Sent\r\n'
251821.9373696,b'TX Frame Sent\r\n'
251822.0384638,b'TX Frame Sent\r\n'
251822.1383418,b'TX Frame Sent\r\n'
251822.2386216,b'TX Frame Sent\r\n'
251822.3369432,b'TX Frame Sent\r\n'
251822.4384876,b'TX Frame Sent\r\n'
251822.5382567,b'TX Frame Sent\r\n'
251822.636521,b'TX Frame Sent\r\n'
251822.7370186,b'TX Frame Sent\r\n'
251822.8367533,b'TX Frame Sent\r\n'
251822.9384594,b'TX Frame Sent\r\n'
251823.0388567,b'TX Frame Sent\r\n'
251823.1383465,b'TX Frame Sent\r\n'
251823.2383642,b'TX Frame Sent\r\n'
251823.3384481,b'TX Frame Sent\r\n'
251823.4384011,b'TX Frame Sent\r\n'
251823.5384812,b'TX Frame Sent\r\n'
251823.6368998,b'TX Frame Sent\r\n'
251823.7370057,b'TX Frame Sent\r\n'
251823.8385641,b'TX Frame Sent\r\n'
251823.9357736,b'TX Frame Sent\r\n'
251824.0366104,b'TX Frame Sent\r\n'
251824.1385811,b'TX Frame Sent\r\n'
251824.2375909,b'TX Frame Sent\r\n'
251824.3384718,b'TX Frame Sent\r\n'
251824.4384503,b'TX Frame Sent\r\n'
251824.5371351,b'TX Frame Sent\r\n'
251824.6385733,b'TX Frame Sent\r\n'
251824.738654,b'TX Frame Sent\r\n'
251824.838694,b'TX Frame Sent\r\n'
251824.9359819,b'TX Frame Sent\r\n'
251825.0387232,b'TX Frame Sent\r\n'
251825.1386712,b'TX Frame Sent\r\n'
251825.2384785,b'TX Frame Sent\r\n'
251825.3388907,b'TX Frame Sent\r\n'
251825.4389637,b'TX Frame Sent\r\n'
251825.5366907,b'TX Frame Sent\r\n'
251825.6383817,b'TX Frame Sent\r\n'
251825.7383498,b'TX Frame Sent\r\n'
251825.8383408,b'TX Frame Sent\r\n'
251825.9355441,b'TX Frame Sent\r\n'
251826.0384518,b'TX Frame Sent\r\n'
251826.1384709,b'TX Frame Sent\r\n'
251826.2383602,b'TX Frame Sent\r\n'
251826.3384263,b'TX Frame Sent\r\n'
251826.4368353,b'TX Frame Sent\r\n'
251826.5363905,b'TX Frame Sent\r\n'
251826.6383604,b'TX Frame Sent\r\n'
251826.7383687,b'TX Frame Sent\r\n'
251826.838448,b'TX Frame Sent\r\n'
251826.9358406,b'TX Frame Sent\r\n'
251827.0368406,b'TX Frame Sent\r\n'
251827.1370767,b'TX Frame Sent\r\n'
251827.2362345,b'TX Frame Sent\r\n'
251827.3370915,b'TX Frame Sent\r\n'
251827.4376026,b'TX Frame Sent\r\n'
251827.5363626,b'TX Frame Sent\r\n'
251827.6381555,b'TX Frame Sent\r\n'
251827.736925,b'TX Frame Sent\r\n'
251827.8368823,b'TX Frame Sent\r\n'
251827.9362349,b'TX Frame Sent\r\n'
251828.0381201,b'TX Frame Sent\r\n'
251828.1386,b'TX Frame Sent\r\n'
251828.2367097,b'TX Frame Sent\r\n'
251828.3383914,b'TX Frame Sent\r\n'
251828.4385008,b'TX Frame Sent\r\n'
251828.5369652,b'TX Frame Sent\r\n'
251828.638416,b'TX Frame Sent\r\n'
251828.7384984,b'TX Frame Sent\r\n'
251828.8384852,b'TX Frame Sent\r\n'
251828.9361885,b'TX Frame Sent\r\n'
251829.0385369,b'TX Frame Sent\r\n'
251829.1363586,b'TX Frame Sent\r\n'
251829.2364474,b'TX Frame Sent\r\n'
251829.3383989,b'TX Frame Sent\r\n'
251829.4387097,b'TX Frame Sent\r\n'
251829.5383966,b'TX Frame Sent\r\n'
251829.6384141,b'TX Frame Sent\r\n'
251829.7383648,b'TX Frame Sent\r\n'
251829.8382207,b'TX Frame Sent\r\n'
251829.9385236,b'TX Frame Sent\r\n'
251830.0382848,b'TX Frame Sent\r\n'
251830.13848,b'TX Frame Sent\r\n'
251830.2389256,b'TX Frame Sent\r\n'
251830.3387093,b'TX Frame Sent\r\n'
251830.4388518,b'TX Frame Sent\r\n'
251830.5371886,b'TX Frame Sent\r\n'
251830.6383532,b'TX Frame Sent\r\n'
251830.7381761,b'TX Frame Sent\r\n'
251830.8382354,b'TX Frame Sent\r\n'
251830.9367259,b'TX Frame Sent\r\n'
251831.0386376,b'TX Frame Sent\r\n'
251831.1386626,b'TX Frame Sent\r\n'
251831.2363216,b'TX Frame Sent\r\n'
251831.3388289,b'TX Frame Sent\r\n'
251831.4374617,b'TX Frame Sent\r\n'
251831.5365877,b'TX Frame Sent\r\n'
251831.6383031,b'TX Frame Sent\r\n'
251831.7360307,b'TX Frame Sent\r\n'
251831.8380609,b'TX Frame Sent\r\n'
251831.9383134,b'TX Frame Sent\r\n'
251832.0382185,b'TX Frame Sent\r\n'
251832.137485,b'TX Frame Sent\r\n'
251832.2364477,b'TX Frame Sent\r\n'
251832.3382294,b'TX Frame Sent\r\n'
251832.4383436,b'TX Frame Sent\r\n'
251832.538347,b'TX Frame Sent\r\n'
251832.6366491,b'TX Frame Sent\r\n'
251832.7386817,b'TX Frame Sent\r\n'
251832.8387061,b'TX Frame Sent\r\n'
251832.9387141,b'TX Frame Sent\r\n'
251833.0383431,b'TX Frame Sent\r\n'
251833.1388851,b'TX Frame Sent\r\n'
251833.2362598,b'TX Frame Sent\r\n'
251833.3384173,b'TX Frame Sent\r\n'
251833.4382296,b'TX Frame Sent\r\n'
251833.5366831,b'TX Frame Sent\r\n'
251833.6388312,b'TX Frame Sent\r\n'
251833.7362104,b'TX Frame Sent\r\n'
251833.8379189,b'TX Frame Sent\r\n'
251833.938544,b'TX Frame Sent\r\n'
251834.0379516,b'TX Frame Sent\r\n'
251834.1388116,b'TX Frame Sent\r\n'
251834.2381691,b'TX Frame Sent\r\n'
251834.3385714,b'TX Frame Sent\r\n'
251834.4385367,b'TX Frame Sent\r\n'
251834.5385322,b'TX Frame Sent\r\n'
